GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
boimama-app,in.boimama.readstories.data.model,User,24,0,0,0,10,0,7,0,7,0
boimama-app,in.boimama.readstories.data.model,Author,7,76,0,0,3,32,2,21,2,21
boimama-app,in.boimama.readstories.data.model,Story,7,90,0,0,3,38,2,25,2,25
boimama-app,in.boimama.readstories.service,UserService,34,0,0,0,5,0,3,0,3,0
boimama-app,in.boimama.readstories.service,StoryService,479,0,34,0,98,0,34,0,17,0
boimama-app,in.boimama.readstories.service,AuthorService,311,0,18,0,72,0,19,0,10,0
boimama-app,in.boimama.readstories.config.security,SecurityConfiguration,55,0,0,0,14,0,2,0,2,0
boimama-app,in.boimama.readstories.data,StoryRepository,29,0,0,0,5,0,3,0,3,0
boimama-app,in.boimama.readstories.data,AuthorRepository,11,0,2,0,2,0,2,0,1,0
boimama-app,in.boimama.readstories.config.aws,AwsConfig,22,0,0,0,7,0,4,0,4,0
boimama-app,in.boimama.readstories.config.cassandra,CassandraConfig,58,0,2,0,18,0,5,0,4,0
boimama-app,in.boimama.readstories,BoimamaApplication,15,0,0,0,5,0,3,0,3,0
boimama-app,in.boimama.readstories.utils,ApplicationConstants,2,28,0,0,1,2,1,1,1,1
boimama-app,in.boimama.readstories.utils,ApplicationUtils,26,68,3,13,6,15,4,12,1,7
boimama-app,in.boimama.readstories.utils,RestControllerAspect,6,128,1,3,6,25,6,7,5,6
boimama-app,in.boimama.readstories.utils,ModelMapperHelper,0,103,0,0,0,27,0,3,0,3
boimama-app,in.boimama.readstories.utils,AwsImageManager,28,112,4,8,9,37,4,7,0,5
boimama-app,in.boimama.readstories.utils.validation,NonEmptyStringListValidator,0,50,0,14,0,14,0,10,0,3
boimama-app,in.boimama.readstories.utils.validation,UuidListValidator,1,31,0,6,1,12,1,5,1,2
boimama-app,in.boimama.readstories.exception,ApplicationClientException,13,0,0,0,6,0,3,0,3,0
boimama-app,in.boimama.readstories.exception,GlobalExceptionHandler,111,0,0,0,20,0,8,0,8,0
boimama-app,in.boimama.readstories.exception,ApplicationServerException,13,0,0,0,6,0,3,0,3,0
boimama-app,in.boimama.readstories.controller,UserController,35,0,4,0,8,0,6,0,4,0
boimama-app,in.boimama.readstories.controller,AdminController,39,0,4,0,9,0,7,0,5,0
boimama-app,in.boimama.readstories.controller,StoryController,183,0,18,0,41,0,19,0,10,0
boimama-app,in.boimama.readstories.controller,AbstractController,22,0,0,0,4,0,4,0,4,0
boimama-app,in.boimama.readstories.controller,AuthorController,169,0,16,0,38,0,17,0,9,0
boimama-app,in.boimama.readstories.config.swagger,OpenAPIConfig,76,0,0,0,21,0,5,0,5,0
boimama-app,in.boimama.readstories.dto,AuthorRequest,77,0,0,0,26,0,18,0,18,0
boimama-app,in.boimama.readstories.dto,StoryResponse,24,87,0,0,1,37,1,25,1,25
boimama-app,in.boimama.readstories.dto,ResponseCode,100,0,0,0,17,0,4,0,4,0
boimama-app,in.boimama.readstories.dto,ErrorResponse,39,0,0,0,16,0,8,0,8,0
boimama-app,in.boimama.readstories.dto,StoryRequest,75,0,0,0,26,0,18,0,18,0
boimama-app,in.boimama.readstories.dto,AuthorResponse,20,73,0,0,1,31,1,21,1,21
boimama-app,in.boimama.readstories.dto,ContactUsRequest,41,0,0,0,14,0,10,0,10,0
boimama-app,in.boimama.readstories.keyspaces.retry,AmazonKeyspacesRetryPolicy,234,0,6,0,32,0,14,0,11,0
boimama-app,in.boimama.readstories.keyspaces.retry,AmazonKeyspacesRetryOption,24,0,0,0,7,0,3,0,3,0
